id,question,correctanswer,answera,answerb,answerc,answerd
102466,electron transport mitochondria results chemiosmotic gradient particle across mitochondrial membrane,c,adp,atp,protons,neutrons
102467,sound heat firecracker produces originally stored type,b,nuclear,chemical,electrical,mechanical
102468,an astronomical unit au measurement measure distance,c,stars,galaxies,planets,solar systems
102469,clear night person see billions stars within milky way,a,galaxy,cluster,system,structure
102470,mixing cold arctic ocean warm surface atlantic currents off northwestern coast europe causes effect,a,sinking circulates southwest,reversal current direction back toward european coast,rise salinity upwelling affected currents,rapid evaporation acceleration currents toward pole
102471,large complex molecules living,b,dioxide oxygen,carbohydrates fats proteins dna,carbohydrates proteins salt,hydrogen oxygen nitrogen
102472,interior earth made up several physically layers solid layer moves over viscous called,b,core,crust,asthenosphere,atmosphere
102473,building dam,b,prevent pollution,destroy habitat many animal,allow fish easily swim up river,cause people consume
102474,periodic table elements group 8a helium neon argon etc grouped together because,b,lighter air,full outer electron shells,excess electrons share,easily react elements
102475,statements explains why tilt axis causes summer warmer winter northern hemisphere,b,warm ocean currents flow tropics northern hemisphere summer,rays strike northern hemisphere directly summer,greenhouse effect increases northern hemisphere summer,northern hemisphere closer summer
102476,example organism been selectively bred particular genetic trait,d,cats eat mice,cows graze grass,pigs form large herds,chickens lay large eggs
102477,sample cylindrical container shape fixed volume state matter,b,must solid,could either solid liquid,must liquid,could either liquid gas
102478,at irregular intervals three seven years warm current flows southward along coast ecuador peru replacing cold peruvian weather pattern called,c,hurricane,tornado,el niño,santa ana
102479,seismographs placed km active fault line on side during earthquake accounts readings,d,pull gravity waves,interaction waves,differences strength waves origins,media through waves travel
102480,sperm contains alleles hqt fuses egg genotypes form offspring,d,hhqqtt,hhqqtt,hhqqtt,hhqqtt
102481,fertilization results combination,c,egg,sperm,egg cell sperm,somatic
102482,invention culture living above arctic circle develop,c,ice production,air conditioning,insulated clothing,irrigation canals
102483,nuclear fusion source stars besides hydrogen element also common,a,helium,nitrogen,oxygen,uranium
102484,statements defines astronomical unit au,c,takes travel through space year,measure bright object appears space,average distance,distance revolution around
102485,south america africa continents separated large ocean found million year old mesosaurus fossils on both explanation reason,d,continents were both created through volcanic activity,fossils were brought south america explorers,animals crossed land bridge once connected continents,continents were once attached then drifted apart
